WebSocket LTT (ms): 1753242304786 | Human: 09:15:04.786 | LTP: 326.2 | Latency: 558ms | Socket Timing :09:15:04.786 | Current Timing :09:15:05.344
WebSocket LTT (ms): 1753242304514 | Human: 09:15:04.514 | LTP: 398.8 | Latency: 830ms | Socket Timing :09:15:04.514 | Current Timing :09:15:05.344
WebSocket LTT (ms): 1753242304459 | Human: 09:15:04.459 | LTP: 425.65 | Latency: 885ms | Socket Timing :09:15:04.459 | Current Timing :09:15:05.344
WebSocket LTT (ms): 1753242304621 | Human: 09:15:04.621 | LTP: 305.25 | Latency: 739ms | Socket Timing :09:15:04.621 | Current Timing :09:15:05.360
WebSocket LTT (ms): 1753242305449 | Human: 09:15:05.449 | LTP: 403.2 | Latency: 418ms | Socket Timing :09:15:05.449 | Current Timing :09:15:05.867
WebSocket LTT (ms): 1753242305502 | Human: 09:15:05.502 | LTP: 423.3 | Latency: 380ms | Socket Timing :09:15:05.502 | Current Timing :09:15:05.882
WebSocket LTT (ms): 1753242305508 | Human: 09:15:05.508 | LTP: 308.05 | Latency: 626ms | Socket Timing :09:15:05.508 | Current Timing :09:15:06.134
WebSocket LTT (ms): 1753242305765 | Human: 09:15:05.765 | LTP: 316.0 | Latency: 631ms | Socket Timing :09:15:05.765 | Current Timing :09:15:06.396
WebSocket LTT (ms): 1753242305449 | Human: 09:15:05.449 | LTP: 403.2 | Latency: 947ms | Socket Timing :09:15:05.449 | Current Timing :09:15:06.396
WebSocket LTT (ms): 1753242305981 | Human: 09:15:05.981 | LTP: 428.3 | Latency: 415ms | Socket Timing :09:15:05.981 | Current Timing :09:15:06.396
WebSocket LTT (ms): 1753242306092 | Human: 09:15:06.092 | LTP: 306.7 | Latency: 304ms | Socket Timing :09:15:06.092 | Current Timing :09:15:06.396
WebSocket LTT (ms): 1753242306566 | Human: 09:15:06.566 | LTP: 428.35 | Latency: 189ms | Socket Timing :09:15:06.566 | Current Timing :09:15:06.755
WebSocket LTT (ms): 1753242306552 | Human: 09:15:06.552 | LTP: 310.15 | Latency: 203ms | Socket Timing :09:15:06.552 | Current Timing :09:15:06.755
WebSocket LTT (ms): 1753242306669 | Human: 09:15:06.669 | LTP: 323.35 | Latency: 243ms | Socket Timing :09:15:06.669 | Current Timing :09:15:06.912
WebSocket LTT (ms): 1753242306623 | Human: 09:15:06.623 | LTP: 401.5 | Latency: 289ms | Socket Timing :09:15:06.623 | Current Timing :09:15:06.912
WebSocket LTT (ms): 1753242306623 | Human: 09:15:06.623 | LTP: 401.5 | Latency: 438ms | Socket Timing :09:15:06.623 | Current Timing :09:15:07.061
WebSocket LTT (ms): 1753242306669 | Human: 09:15:06.669 | LTP: 323.35 | Latency: 542ms | Socket Timing :09:15:06.669 | Current Timing :09:15:07.211
WebSocket LTT (ms): 1753242307046 | Human: 09:15:07.046 | LTP: 430.65 | Latency: 312ms | Socket Timing :09:15:07.046 | Current Timing :09:15:07.358
WebSocket LTT (ms): 1753242307053 | Human: 09:15:07.053 | LTP: 305.0 | Latency: 305ms | Socket Timing :09:15:07.053 | Current Timing :09:15:07.358
WebSocket LTT (ms): 1753242307559 | Human: 09:15:07.559 | LTP: 431.85 | Latency: 247ms | Socket Timing :09:15:07.559 | Current Timing :09:15:07.806
WebSocket LTT (ms): 1753242307506 | Human: 09:15:07.506 | LTP: 310.4 | Latency: 300ms | Socket Timing :09:15:07.506 | Current Timing :09:15:07.806
WebSocket LTT (ms): 1753242307652 | Human: 09:15:07.652 | LTP: 320.65 | Latency: 305ms | Socket Timing :09:15:07.652 | Current Timing :09:15:07.957
WebSocket LTT (ms): 1753242307657 | Human: 09:15:07.657 | LTP: 411.2 | Latency: 300ms | Socket Timing :09:15:07.657 | Current Timing :09:15:07.957
WebSocket LTT (ms): 1753242307881 | Human: 09:15:07.881 | LTP: 408.95 | Latency: 385ms | Socket Timing :09:15:07.881 | Current Timing :09:15:08.266
WebSocket LTT (ms): 1753242308066 | Human: 09:15:08.066 | LTP: 419.4 | Latency: 200ms | Socket Timing :09:15:08.066 | Current Timing :09:15:08.266
WebSocket LTT (ms): 1753242308057 | Human: 09:15:08.057 | LTP: 309.1 | Latency: 209ms | Socket Timing :09:15:08.057 | Current Timing :09:15:08.266
WebSocket LTT (ms): 1753242308164 | Human: 09:15:08.164 | LTP: 320.75 | Latency: 244ms | Socket Timing :09:15:08.164 | Current Timing :09:15:08.408
WebSocket LTT (ms): 1753242308640 | Human: 09:15:08.640 | LTP: 312.35 | Latency: 251ms | Socket Timing :09:15:08.640 | Current Timing :09:15:08.891
WebSocket LTT (ms): 1753242308587 | Human: 09:15:08.587 | LTP: 413.5 | Latency: 304ms | Socket Timing :09:15:08.587 | Current Timing :09:15:08.891
WebSocket LTT (ms): 1753242308416 | Human: 09:15:08.416 | LTP: 419.35 | Latency: 475ms | Socket Timing :09:15:08.416 | Current Timing :09:15:08.891
WebSocket LTT (ms): 1753242308345 | Human: 09:15:08.345 | LTP: 314.7 | Latency: 555ms | Socket Timing :09:15:08.345 | Current Timing :09:15:08.900
WebSocket LTT (ms): 1753242309146 | Human: 09:15:09.146 | LTP: 407.8 | Latency: 317ms | Socket Timing :09:15:09.146 | Current Timing :09:15:09.463
WebSocket LTT (ms): 1753242309230 | Human: 09:15:09.230 | LTP: 425.0 | Latency: 233ms | Socket Timing :09:15:09.230 | Current Timing :09:15:09.463
WebSocket LTT (ms): 1753242309260 | Human: 09:15:09.260 | LTP: 314.85 | Latency: 203ms | Socket Timing :09:15:09.260 | Current Timing :09:15:09.463
WebSocket LTT (ms): 1753242309336 | Human: 09:15:09.336 | LTP: 323.25 | Latency: 271ms | Socket Timing :09:15:09.336 | Current Timing :09:15:09.607
WebSocket LTT (ms): 1753242309498 | Human: 09:15:09.498 | LTP: 429.7 | Latency: 266ms | Socket Timing :09:15:09.498 | Current Timing :09:15:09.764
WebSocket LTT (ms): 1753242309512 | Human: 09:15:09.512 | LTP: 315.15 | Latency: 252ms | Socket Timing :09:15:09.512 | Current Timing :09:15:09.764
