WebSocket LTT (ms): 1753243450191 | Human: 09:34:10.191 | LTP: 337.8 | Latency: 1108ms | Socket Timing :09:34:10.191 | Current Timing :09:34:11.299
WebSocket LTT (ms): 1753243450566 | Human: 09:34:10.566 | LTP: 394.0 | Latency: 733ms | Socket Timing :09:34:10.566 | Current Timing :09:34:11.299
WebSocket LTT (ms): 1753243450311 | Human: 09:34:10.311 | LTP: 441.5 | Latency: 988ms | Socket Timing :09:34:10.311 | Current Timing :09:34:11.299
WebSocket LTT (ms): 1753243450311 | Human: 09:34:10.311 | LTP: 297.45 | Latency: 988ms | Socket Timing :09:34:10.311 | Current Timing :09:34:11.299
WebSocket LTT (ms): 1753243451002 | Human: 09:34:11.002 | LTP: 442.0 | Latency: 447ms | Socket Timing :09:34:11.002 | Current Timing :09:34:11.449
WebSocket LTT (ms): 1753243451237 | Human: 09:34:11.237 | LTP: 297.3 | Latency: 214ms | Socket Timing :09:34:11.237 | Current Timing :09:34:11.451
WebSocket LTT (ms): 1753243451263 | Human: 09:34:11.263 | LTP: 338.3 | Latency: 335ms | Socket Timing :09:34:11.263 | Current Timing :09:34:11.598
WebSocket LTT (ms): 1753243451237 | Human: 09:34:11.237 | LTP: 394.6 | Latency: 361ms | Socket Timing :09:34:11.237 | Current Timing :09:34:11.598
WebSocket LTT (ms): 1753243451540 | Human: 09:34:11.540 | LTP: 440.05 | Latency: 513ms | Socket Timing :09:34:11.540 | Current Timing :09:34:12.053
WebSocket LTT (ms): 1753243451484 | Human: 09:34:11.484 | LTP: 337.85 | Latency: 844ms | Socket Timing :09:34:11.484 | Current Timing :09:34:12.328
WebSocket LTT (ms): 1753243451237 | Human: 09:34:11.237 | LTP: 394.6 | Latency: 1093ms | Socket Timing :09:34:11.237 | Current Timing :09:34:12.330
WebSocket LTT (ms): 1753243451579 | Human: 09:34:11.579 | LTP: 298.4 | Latency: 753ms | Socket Timing :09:34:11.579 | Current Timing :09:34:12.332
WebSocket LTT (ms): 1753243451540 | Human: 09:34:11.540 | LTP: 440.05 | Latency: 956ms | Socket Timing :09:34:11.540 | Current Timing :09:34:12.496
WebSocket LTT (ms): 1753243451579 | Human: 09:34:11.579 | LTP: 298.4 | Latency: 932ms | Socket Timing :09:34:11.579 | Current Timing :09:34:12.511
WebSocket LTT (ms): 1753243452029 | Human: 09:34:12.029 | LTP: 337.7 | Latency: 623ms | Socket Timing :09:34:12.029 | Current Timing :09:34:12.652
WebSocket LTT (ms): 1753243452285 | Human: 09:34:12.285 | LTP: 395.8 | Latency: 369ms | Socket Timing :09:34:12.285 | Current Timing :09:34:12.654
WebSocket LTT (ms): 1753243452697 | Human: 09:34:12.697 | LTP: 338.25 | Latency: 590ms | Socket Timing :09:34:12.697 | Current Timing :09:34:13.287
WebSocket LTT (ms): 1753243452856 | Human: 09:34:12.856 | LTP: 395.0 | Latency: 433ms | Socket Timing :09:34:12.856 | Current Timing :09:34:13.289
WebSocket LTT (ms): 1753243452701 | Human: 09:34:12.701 | LTP: 440.95 | Latency: 589ms | Socket Timing :09:34:12.701 | Current Timing :09:34:13.290
WebSocket LTT (ms): 1753243452938 | Human: 09:34:12.938 | LTP: 298.8 | Latency: 355ms | Socket Timing :09:34:12.938 | Current Timing :09:34:13.293
WebSocket LTT (ms): 1753243453138 | Human: 09:34:13.138 | LTP: 339.0 | Latency: 408ms | Socket Timing :09:34:13.138 | Current Timing :09:34:13.546
WebSocket LTT (ms): 1753243453111 | Human: 09:34:13.111 | LTP: 395.0 | Latency: 435ms | Socket Timing :09:34:13.111 | Current Timing :09:34:13.546
WebSocket LTT (ms): 1753243453138 | Human: 09:34:13.138 | LTP: 442.0 | Latency: 408ms | Socket Timing :09:34:13.138 | Current Timing :09:34:13.546
WebSocket LTT (ms): 1753243453101 | Human: 09:34:13.101 | LTP: 298.0 | Latency: 445ms | Socket Timing :09:34:13.101 | Current Timing :09:34:13.546
WebSocket LTT (ms): 1753243454130 | Human: 09:34:14.130 | LTP: 338.25 | Latency: 445ms | Socket Timing :09:34:14.130 | Current Timing :09:34:14.575
WebSocket LTT (ms): 1753243454206 | Human: 09:34:14.206 | LTP: 441.5 | Latency: 369ms | Socket Timing :09:34:14.206 | Current Timing :09:34:14.575
WebSocket LTT (ms): 1753243453557 | Human: 09:34:13.557 | LTP: 297.85 | Latency: 1018ms | Socket Timing :09:34:13.557 | Current Timing :09:34:14.575
WebSocket LTT (ms): 1753243454350 | Human: 09:34:14.350 | LTP: 338.9 | Latency: 241ms | Socket Timing :09:34:14.350 | Current Timing :09:34:14.591
WebSocket LTT (ms): 1753243453111 | Human: 09:34:13.111 | LTP: 395.0 | Latency: 1480ms | Socket Timing :09:34:13.111 | Current Timing :09:34:14.591
WebSocket LTT (ms): 1753243454593 | Human: 09:34:14.593 | LTP: 394.85 | Latency: 449ms | Socket Timing :09:34:14.593 | Current Timing :09:34:15.042
WebSocket LTT (ms): 1753243455133 | Human: 09:34:15.133 | LTP: 441.4 | Latency: 364ms | Socket Timing :09:34:15.133 | Current Timing :09:34:15.497
WebSocket LTT (ms): 1753243455068 | Human: 09:34:15.068 | LTP: 297.95 | Latency: 429ms | Socket Timing :09:34:15.068 | Current Timing :09:34:15.497
WebSocket LTT (ms): 1753243455273 | Human: 09:34:15.273 | LTP: 338.55 | Latency: 555ms | Socket Timing :09:34:15.273 | Current Timing :09:34:15.828
WebSocket LTT (ms): 1753243455331 | Human: 09:34:15.331 | LTP: 394.5 | Latency: 497ms | Socket Timing :09:34:15.331 | Current Timing :09:34:15.828
WebSocket LTT (ms): 1753243455068 | Human: 09:34:15.068 | LTP: 297.95 | Latency: 775ms | Socket Timing :09:34:15.068 | Current Timing :09:34:15.843
WebSocket LTT (ms): 1753243455522 | Human: 09:34:15.522 | LTP: 338.2 | Latency: 322ms | Socket Timing :09:34:15.522 | Current Timing :09:34:15.844
WebSocket LTT (ms): 1753243455522 | Human: 09:34:15.522 | LTP: 395.15 | Latency: 322ms | Socket Timing :09:34:15.522 | Current Timing :09:34:15.844
WebSocket LTT (ms): 1753243455526 | Human: 09:34:15.526 | LTP: 440.9 | Latency: 318ms | Socket Timing :09:34:15.526 | Current Timing :09:34:15.844
WebSocket LTT (ms): 1753243456105 | Human: 09:34:16.105 | LTP: 338.45 | Latency: 447ms | Socket Timing :09:34:16.105 | Current Timing :09:34:16.552
WebSocket LTT (ms): 1753243455910 | Human: 09:34:15.910 | LTP: 394.8 | Latency: 644ms | Socket Timing :09:34:15.910 | Current Timing :09:34:16.554
WebSocket LTT (ms): 1753243456211 | Human: 09:34:16.211 | LTP: 441.85 | Latency: 345ms | Socket Timing :09:34:16.211 | Current Timing :09:34:16.556
WebSocket LTT (ms): 1753243455949 | Human: 09:34:15.949 | LTP: 298.0 | Latency: 610ms | Socket Timing :09:34:15.949 | Current Timing :09:34:16.559
WebSocket LTT (ms): 1753243456105 | Human: 09:34:16.105 | LTP: 338.45 | Latency: 995ms | Socket Timing :09:34:16.105 | Current Timing :09:34:17.100
WebSocket LTT (ms): 1753243456725 | Human: 09:34:16.725 | LTP: 395.0 | Latency: 377ms | Socket Timing :09:34:16.725 | Current Timing :09:34:17.102
WebSocket LTT (ms): 1753243456211 | Human: 09:34:16.211 | LTP: 441.85 | Latency: 893ms | Socket Timing :09:34:16.211 | Current Timing :09:34:17.104
WebSocket LTT (ms): 1753243456730 | Human: 09:34:16.730 | LTP: 298.4 | Latency: 376ms | Socket Timing :09:34:16.730 | Current Timing :09:34:17.106
WebSocket LTT (ms): 1753243457066 | Human: 09:34:17.066 | LTP: 441.4 | Latency: 391ms | Socket Timing :09:34:17.066 | Current Timing :09:34:17.457
WebSocket LTT (ms): 1753243457221 | Human: 09:34:17.221 | LTP: 298.0 | Latency: 237ms | Socket Timing :09:34:17.221 | Current Timing :09:34:17.458
WebSocket LTT (ms): 1753243457352 | Human: 09:34:17.352 | LTP: 338.25 | Latency: 247ms | Socket Timing :09:34:17.352 | Current Timing :09:34:17.599
